episode,step,action_index,action_label,reward,loss,done,mission_status,battery_pct,attitude_error,fuel_units,last_action_result
1,1,22,query_power_level:solar_a,0.000000,0.001239,0,degraded,100.000,0.000,50.000,diag: solar_a output=90.0W health=1.00 (panel nominal)
1,2,23,query_power_level:solar_b,0.000000,0.001066,0,degraded,100.000,0.000,50.000,diag: solar_b output=22.1W health=0.25 (panel DEGRADED)
1,3,21,query_power_level:battery,0.000000,0.001412,0,degraded,100.000,0.000,50.000,diag: battery_pct=100.0% health=1.00 backup=False pcf=False
1,4,28,diagnostic_scan:comms,0.050000,0.004780,0,degraded,100.000,0.000,50.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
1,5,27,diagnostic_scan:attitude,0.050000,0.001826,0,degraded,100.000,0.000,50.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.50 st_fault=False ref=star_tracker
1,6,28,diagnostic_scan:comms,0.050000,0.002108,0,degraded,100.000,0.000,50.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
1,7,6,restore_load:heaters,-0.250000,0.010876,0,degraded,100.000,0.000,50.000,heaters already online
1,8,10,reconfigure_power:solar_a,-0.350000,0.027631,0,degraded,100.000,0.000,50.000,solar_a has no active fault to reconfigure
1,9,24,query_attitude,0.000000,0.005108,0,degraded,100.000,0.000,50.000,diag: mode=nominal err=0.00deg rw=degraded ref=star_tracker st_bias=0.0 gyro_bias=1.0
1,10,0,shed_load:science_a,-0.150000,0.000108,0,degraded,100.000,0.000,50.000,science_a powered off
1,11,1,shed_load:science_b,-0.150000,0.003575,0,degraded,100.000,0.000,50.000,science_b powered off
1,12,9,reset_power_controller,-0.250000,0.018041,0,degraded,100.000,0.000,50.000,power controller nominal; reset had no effect
1,13,21,query_power_level:battery,0.000000,0.002995,0,degraded,100.000,0.000,50.000,diag: battery_pct=100.0% health=1.00 backup=False pcf=False
1,14,15,recalibrate_star_tracker,-0.250000,0.018481,0,degraded,100.000,0.000,50.000,star tracker nominal; recalibration unnecessary
1,15,27,diagnostic_scan:attitude,0.050000,0.002993,0,degraded,100.000,0.000,50.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.70 st_fault=False ref=star_tracker
1,16,11,reconfigure_power:solar_b,0.950000,0.552991,0,degraded,100.000,0.000,50.000,solar_b reconfigured successfully; fault cleared (health 0.25 -> 0.65)
1,17,28,diagnostic_scan:comms,0.050000,0.087488,0,degraded,100.000,0.000,50.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
1,18,14,desaturate_wheels,0.600000,0.454391,0,nominal,100.000,0.000,46.000,wheels desaturated; rw_fault cleared (degradation 0.26)
1,19,14,desaturate_wheels,0.300000,0.039008,0,nominal,100.000,0.000,42.000,wheels desaturated; degradation now 0.00
1,20,20,recalibrate_imu,0.500000,0.515112,0,nominal,100.000,0.000,42.000,IMU recalibrated; gyro bias 1.37 cleared
1,21,6,restore_load:heaters,-0.100000,0.094319,0,nominal,100.000,0.000,42.000,heaters already online
1,22,0,shed_load:science_a,-0.100000,0.085741,0,nominal,100.000,0.000,42.000,science_a already offline
1,23,7,restore_load:transponder,-0.100000,0.066303,0,nominal,100.000,0.000,42.000,transponder already online
1,24,12,stabilize_attitude,0.000000,0.104174,0,nominal,100.000,0.000,40.000,attitude stabilization burn; pointing error 0.00deg
1,25,12,stabilize_attitude,0.000000,0.032167,0,nominal,100.000,0.000,38.000,attitude stabilization burn; pointing error 0.00deg
1,26,0,shed_load:science_a,-0.100000,0.026479,0,nominal,100.000,0.000,38.000,science_a already offline
1,27,24,query_attitude,0.150000,0.199404,0,nominal,100.000,0.000,38.000,diag: mode=nominal err=0.00deg rw=nominal ref=star_tracker st_bias=0.0 gyro_bias=0.0
1,28,25,query_thermal,0.150000,0.227008,0,nominal,100.000,0.000,38.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
1,29,21,query_power_level:battery,0.150000,0.194562,0,nominal,100.000,0.000,38.000,diag: battery_pct=100.0% health=1.00 backup=False pcf=False
1,30,30,resume_nominal,10.000000,49.737035,1,recovered,100.000,0.000,38.000,nominal operations resumed; mission recovered
2,1,22,query_power_level:solar_a,0.000000,2.108051,0,degraded,59.190,0.000,50.000,diag: solar_a output=90.0W health=1.00 (panel nominal)
2,2,23,query_power_level:solar_b,0.000000,2.079678,0,degraded,60.860,0.000,50.000,diag: solar_b output=90.0W health=1.00 (panel nominal)
2,3,21,query_power_level:battery,0.000000,1.534161,0,degraded,62.530,0.000,50.000,diag: battery_pct=60.9% health=0.69 backup=False pcf=True
2,4,26,diagnostic_scan:power,0.050000,2.319369,0,degraded,64.190,0.000,50.000,diag-scan power: bat=62.5% solar=180.0W load=105.0W net=positive pcf=True
2,5,28,diagnostic_scan:comms,0.050000,1.770302,0,degraded,65.860,0.000,50.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
2,6,28,diagnostic_scan:comms,0.050000,0.384070,0,degraded,67.530,0.000,50.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
2,7,22,query_power_level:solar_a,0.000000,0.544120,0,degraded,68.870,0.000,50.000,diag: solar_a output=90.0W health=1.00 (panel nominal)
2,8,6,restore_load:heaters,-0.250000,1.305103,0,degraded,68.870,0.000,50.000,heaters already online
2,9,24,query_attitude,0.000000,1.608868,0,degraded,68.870,0.000,50.000,diag: mode=nominal err=0.00deg rw=nominal ref=star_tracker st_bias=0.0 gyro_bias=0.0
2,10,0,shed_load:science_a,0.250000,1.979717,0,degraded,68.870,0.000,50.000,science_a powered off
2,11,24,query_attitude,0.000000,0.448927,0,degraded,68.870,0.000,50.000,diag: mode=nominal err=0.00deg rw=nominal ref=star_tracker st_bias=0.0 gyro_bias=0.0
2,12,9,reset_power_controller,0.900000,4.715605,0,nominal,68.870,0.000,50.000,power controller reset; drain fault cleared
2,13,9,reset_power_controller,-0.100000,0.229316,0,nominal,68.870,0.000,50.000,power controller nominal; reset had no effect
2,14,11,reconfigure_power:solar_b,-0.200000,1.193232,0,nominal,68.870,0.000,50.000,solar_b has no active fault to reconfigure
2,15,10,reconfigure_power:solar_a,-0.200000,2.045849,0,nominal,68.870,0.000,50.000,solar_a has no active fault to reconfigure
2,16,9,reset_power_controller,-0.100000,0.063538,0,nominal,68.870,0.000,50.000,power controller nominal; reset had no effect
2,17,15,recalibrate_star_tracker,-0.100000,2.186899,0,nominal,68.870,0.000,50.000,star tracker nominal; recalibration unnecessary
2,18,14,desaturate_wheels,0.000000,1.295320,0,nominal,68.870,0.000,50.000,wheels already nominal; desaturation unnecessary
2,19,14,desaturate_wheels,0.000000,0.349550,0,nominal,68.870,0.000,50.000,wheels already nominal; desaturation unnecessary
2,20,20,recalibrate_imu,0.150000,1.724673,0,nominal,68.870,0.000,50.000,IMU recalibrated (bias was negligible)
2,21,6,restore_load:heaters,-0.100000,0.689478,0,nominal,68.870,0.000,50.000,heaters already online
2,22,3,shed_load:transponder,0.000000,1.251689,0,nominal,68.870,0.000,50.000,transponder powered off
2,23,7,restore_load:transponder,0.200000,2.404832,0,nominal,68.870,0.000,50.000,transponder restored
2,24,12,stabilize_attitude,0.000000,1.587665,0,nominal,68.870,0.000,48.000,attitude stabilization burn; pointing error 0.00deg
2,25,27,diagnostic_scan:attitude,0.200000,2.862335,0,nominal,68.870,0.000,48.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.00 st_fault=False ref=star_tracker
2,26,12,stabilize_attitude,0.000000,0.419716,0,nominal,68.870,0.000,46.000,attitude stabilization burn; pointing error 0.00deg
2,27,0,shed_load:science_a,-0.100000,0.396491,0,nominal,68.870,0.000,46.000,science_a already offline
2,28,25,query_thermal,0.150000,2.310463,0,nominal,68.870,0.000,46.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
2,29,22,query_power_level:solar_a,0.150000,0.505737,0,nominal,68.870,0.000,46.000,diag: solar_a output=90.0W health=1.00 (panel nominal)
2,30,30,resume_nominal,10.000000,28.946485,1,recovered,68.870,0.000,46.000,nominal operations resumed; mission recovered
3,1,22,query_power_level:solar_a,0.000000,2.525960,0,degraded,60.300,3.158,50.000,diag: solar_a output=78.5W health=1.00 (panel nominal)
3,2,23,query_power_level:solar_b,0.000000,4.887098,0,degraded,60.300,3.758,50.000,diag: solar_b output=75.8W health=1.00 (panel nominal)
3,3,9,reset_power_controller,0.150000,2.329748,0,degraded,60.300,4.358,50.000,power controller reset; bus stabilized
3,4,26,diagnostic_scan:power,0.050000,5.175387,0,degraded,60.300,4.958,50.000,diag-scan power: bat=60.3% solar=140.8W load=105.0W net=positive pcf=False
3,5,27,diagnostic_scan:attitude,0.050000,4.635669,0,degraded,60.300,5.558,50.000,diag-scan attitude: mode=nominal err=4.96deg rw_deg=0.00 st_fault=True ref=star_tracker
3,6,28,diagnostic_scan:comms,0.050000,3.124171,0,degraded,60.300,6.158,50.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
3,7,0,shed_load:science_a,-0.150000,2.119211,0,degraded,60.300,6.758,50.000,science_a powered off
3,8,16,cross_validate_attitude,0.050000,8.475004,0,degraded,60.300,7.358,50.000,diag: ST=11.09deg GY=6.76deg SUN=6.76deg disagree=4.34
3,9,24,query_attitude,0.000000,3.266797,0,degraded,60.300,7.958,50.000,diag: mode=nominal err=7.36deg rw=nominal ref=star_tracker st_bias=4.3 gyro_bias=0.0
3,10,0,shed_load:science_a,-0.250000,0.536754,0,degraded,60.300,8.558,50.000,science_a already offline
3,11,18,switch_attitude_reference:gyro,-0.050000,6.861284,0,degraded,60.300,8.508,50.000,attitude reference set to gyro
3,12,9,reset_power_controller,-0.250000,0.340202,0,degraded,60.300,8.458,50.000,power controller nominal; reset had no effect
3,13,30,resume_nominal,-0.550000,0.282203,0,degraded,60.300,8.408,50.000,refused: 2 unresolved fault(s) - resolve before resuming nominal
3,14,11,reconfigure_power:solar_b,-0.350000,2.184352,0,degraded,60.300,8.358,50.000,solar_b has no active fault to reconfigure
3,15,7,restore_load:transponder,-0.250000,2.835489,0,degraded,60.300,8.308,50.000,transponder already online
3,16,11,reconfigure_power:solar_b,-0.350000,0.718521,0,degraded,60.300,8.258,50.000,solar_b has no active fault to reconfigure
3,17,15,recalibrate_star_tracker,0.950000,6.688669,0,degraded,60.300,7.208,50.000,star tracker recalibrated; drift fault cleared
3,18,14,desaturate_wheels,-0.150000,1.724991,0,degraded,60.300,7.158,50.000,wheels already nominal; desaturation unnecessary
3,19,14,desaturate_wheels,-0.150000,0.558101,0,degraded,60.300,7.108,50.000,wheels already nominal; desaturation unnecessary
3,20,25,query_thermal,0.000000,3.548458,0,degraded,60.300,7.058,50.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
3,21,6,restore_load:heaters,-0.250000,1.838826,0,degraded,60.300,7.008,50.000,heaters already online
3,22,3,shed_load:transponder,-0.150000,1.547924,0,degraded,60.300,6.958,50.000,transponder powered off
3,23,7,restore_load:transponder,0.050000,1.761021,0,degraded,60.300,6.908,50.000,transponder restored
3,24,23,query_power_level:solar_b,0.000000,1.171889,0,degraded,60.300,6.858,50.000,diag: solar_b output=58.9W health=1.00 (panel nominal)
3,25,12,stabilize_attitude,0.250000,2.988930,0,degraded,60.300,4.308,48.000,attitude stabilization burn; pointing error 4.36deg
3,26,6,restore_load:heaters,-0.250000,0.739932,0,degraded,60.300,4.258,48.000,heaters already online
3,27,24,query_attitude,0.000000,0.828343,0,degraded,60.300,4.208,48.000,diag: mode=nominal err=4.26deg rw=nominal ref=gyro st_bias=0.0 gyro_bias=0.0
3,28,25,query_thermal,0.000000,1.236271,0,degraded,60.300,4.158,48.000,diag: battery_temp=20.0C heaters=online thermal_fault=False
3,29,21,query_power_level:battery,0.000000,3.946167,0,degraded,60.300,4.108,48.000,diag: battery_pct=60.3% health=0.60 backup=False pcf=False
3,30,30,resume_nominal,-0.550000,0.557591,0,degraded,60.300,4.058,48.000,refused: 1 unresolved fault(s) - resolve before resuming nominal
3,31,30,resume_nominal,-0.550000,0.256044,0,degraded,60.300,4.008,48.000,refused: 1 unresolved fault(s) - resolve before resuming nominal
3,32,30,resume_nominal,-0.550000,0.111493,0,degraded,60.300,3.958,48.000,refused: 1 unresolved fault(s) - resolve before resuming nominal
3,33,30,resume_nominal,-0.550000,0.029082,0,degraded,60.300,3.908,48.000,refused: 1 unresolved fault(s) - resolve before resuming nominal
3,34,24,query_attitude,0.000000,0.004313,0,degraded,60.300,3.858,48.000,diag: mode=nominal err=3.91deg rw=nominal ref=gyro st_bias=0.0 gyro_bias=0.0
3,35,1,shed_load:science_b,-0.150000,3.875277,0,degraded,60.300,3.808,48.000,science_b powered off
3,36,10,reconfigure_power:solar_a,-0.350000,1.695051,0,degraded,60.300,3.758,48.000,solar_a has no active fault to reconfigure
3,37,27,diagnostic_scan:attitude,0.050000,0.234711,0,degraded,60.300,3.708,48.000,diag-scan attitude: mode=nominal err=3.76deg rw_deg=0.00 st_fault=False ref=gyro
3,38,21,query_power_level:battery,0.000000,0.153957,0,degraded,60.300,3.658,48.000,diag: battery_pct=60.3% health=0.60 backup=False pcf=False
3,39,10,reconfigure_power:solar_a,-0.350000,0.536320,0,degraded,60.300,3.608,48.000,solar_a has no active fault to reconfigure
3,40,14,desaturate_wheels,-0.150000,0.000912,0,degraded,60.300,3.558,48.000,wheels already nominal; desaturation unnecessary
3,41,8,switch_to_backup_battery,0.450000,5.859262,0,degraded,100.000,3.508,48.000,switched to backup battery
3,42,4,restore_load:science_a,0.050000,4.746829,0,degraded,100.000,3.458,48.000,science_a restored
3,43,20,recalibrate_imu,0.000000,1.713479,0,degraded,100.000,3.408,48.000,IMU recalibrated (bias was negligible)
3,44,7,restore_load:transponder,-0.250000,0.062027,0,degraded,100.000,3.358,48.000,transponder already online
3,45,8,switch_to_backup_battery,-0.350000,0.644799,0,degraded,100.000,3.308,48.000,already on backup battery
3,46,22,query_power_level:solar_a,0.000000,0.011414,0,degraded,100.000,3.258,48.000,diag: solar_a output=75.1W health=1.00 (panel nominal)
3,47,19,switch_attitude_reference:sun_sensor,-0.050000,4.484232,0,degraded,100.000,3.408,48.000,attitude reference set to sun_sensor
3,48,4,restore_load:science_a,-0.250000,0.903136,0,degraded,100.000,3.558,48.000,science_a already online
3,49,23,query_power_level:solar_b,0.000000,0.000026,0,degraded,100.000,3.708,48.000,diag: solar_b output=74.0W health=1.00 (panel nominal)
3,50,16,cross_validate_attitude,-10.050000,69.166445,1,lost,100.000,3.858,48.000,diag: ST=3.71deg GY=3.71deg SUN=3.71deg disagree=0.00
4,1,22,query_power_level:solar_a,0.000000,0.004662,0,degraded,100.000,0.000,50.000,diag: solar_a output=20.1W health=0.22 (panel DEGRADED)
4,2,23,query_power_level:solar_b,0.000000,0.010997,0,degraded,100.000,0.000,50.000,diag: solar_b output=90.0W health=1.00 (panel nominal)
4,3,30,resume_nominal,-0.550000,0.081979,0,degraded,100.000,0.000,50.000,refused: 3 unresolved fault(s) - resolve before resuming nominal
4,4,26,diagnostic_scan:power,0.050000,0.172743,0,degraded,100.000,0.000,50.000,diag-scan power: bat=100.0% solar=110.1W load=105.0W net=positive pcf=False
4,5,27,diagnostic_scan:attitude,0.050000,0.026490,0,degraded,100.000,0.000,50.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.54 st_fault=False ref=star_tracker
4,6,12,stabilize_attitude,-0.150000,0.027294,0,degraded,100.000,0.000,48.000,attitude stabilization burn; pointing error 0.00deg
4,7,25,query_thermal,0.000000,0.015649,0,degraded,100.000,0.000,48.000,diag: battery_temp=8.3C heaters=offline thermal_fault=True
4,8,16,cross_validate_attitude,-0.050000,5.584414,0,degraded,100.000,0.000,48.000,diag: ST=0.00deg GY=1.11deg SUN=0.00deg disagree=0.00
4,9,24,query_attitude,0.000000,0.004803,0,degraded,100.000,0.000,48.000,diag: mode=nominal err=0.00deg rw=degraded ref=star_tracker st_bias=0.0 gyro_bias=1.1
4,10,0,shed_load:science_a,-0.150000,0.047614,0,degraded,100.000,0.000,48.000,science_a powered off
4,11,1,shed_load:science_b,-0.150000,0.680521,0,degraded,100.000,0.000,48.000,science_b powered off
4,12,9,reset_power_controller,-0.250000,0.063799,0,degraded,100.000,0.000,48.000,power controller nominal; reset had no effect
4,13,28,diagnostic_scan:comms,0.050000,0.070455,0,degraded,100.000,0.000,48.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
4,14,11,reconfigure_power:solar_b,-0.350000,0.000835,0,degraded,100.000,0.000,48.000,solar_b has no active fault to reconfigure
4,15,10,reconfigure_power:solar_a,0.950000,1.586818,0,degraded,100.000,0.000,48.000,solar_a reconfigured successfully; fault cleared (health 0.22 -> 0.62)
4,16,11,reconfigure_power:solar_b,-0.350000,0.000130,0,degraded,100.000,0.000,48.000,solar_b has no active fault to reconfigure
4,17,16,cross_validate_attitude,-0.500000,0.544136,0,critical,100.000,0.000,48.000,diag: ST=0.00deg GY=1.43deg SUN=0.00deg disagree=0.00
4,18,0,shed_load:science_a,-0.700000,0.180469,0,critical,99.000,0.000,48.000,science_a already offline
4,19,14,desaturate_wheels,0.000000,0.021762,0,critical,98.000,0.000,44.000,wheels desaturated; rw_fault cleared (degradation 0.32)
4,20,20,recalibrate_imu,-0.100000,0.199281,0,critical,97.000,0.000,44.000,IMU recalibrated; gyro bias 1.53 cleared
4,21,6,restore_load:heaters,-0.400000,0.000330,0,critical,96.000,0.000,44.000,heaters restored
4,22,13,switch_to_thruster_control,-0.500000,2.006621,0,critical,95.000,0.000,42.500,ACS switched to thruster control
4,23,7,restore_load:transponder,-0.700000,0.052527,0,critical,94.000,0.000,41.000,transponder already online
4,24,12,stabilize_attitude,-0.600000,0.057657,0,critical,93.000,0.000,37.500,attitude stabilization burn; pointing error 0.00deg
4,25,12,stabilize_attitude,-0.600000,0.018980,0,critical,92.000,0.000,34.000,attitude stabilization burn; pointing error 0.00deg
